objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll129,lifta_213.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795875 N,35.195992 E,,lifta_213.jpg,Image;StillImage,image/jpg,,,
coll130,lifta_214.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795978 N,35.196197 E,,lifta_214.jpg,Image;StillImage,image/jpg,,,
coll131,lifta_215.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796333 N,35.196286 E,,lifta_215.jpg,Image;StillImage,image/jpg,,,
coll132,lifta_216.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796344 N,35.196286 E,,lifta_216.jpg,Image;StillImage,image/jpg,,,
coll133,lifta_217.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796458 N,35.196183 E,,lifta_217.jpg,Image;StillImage,image/jpg,,,
coll134,lifta_218.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796208 N,35.196286 E,,lifta_218.jpg,Image;StillImage,image/jpg,,,
coll135,lifta_219.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196258 E,,lifta_219.jpg,Image;StillImage,image/jpg,,,
coll136,lifta_22.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799244 N,35.197978 E,,lifta_22.jpg,Image;StillImage,image/jpg,,,
coll137,lifta_220.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796128 N,35.196144 E,,lifta_220.jpg,Image;StillImage,image/jpg,,,
coll138,lifta_221.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796147 N,35.196147 E,,lifta_221.jpg,Image;StillImage,image/jpg,,,
coll139,lifta_222.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796147 N,35.196147 E,,lifta_222.jpg,Image;StillImage,image/jpg,,,
coll140,lifta_223.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796214 N,35.196169 E,,lifta_223.jpg,Image;StillImage,image/jpg,,,
coll141,lifta_224.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796247 N,35.196169 E,,lifta_224.jpg,Image;StillImage,image/jpg,,,
coll142,lifta_225.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796297 N,35.196186 E,,lifta_225.jpg,Image;StillImage,image/jpg,,,
coll143,lifta_226.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796289 N,35.196169 E,,lifta_226.jpg,Image;StillImage,image/jpg,,,
coll144,lifta_227.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,lifta_227.jpg,Image;StillImage,image/jpg,,,
coll145,lifta_228.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,lifta_228.jpg,Image;StillImage,image/jpg,,,
coll146,lifta_229.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196133 E,,lifta_229.jpg,Image;StillImage,image/jpg,,,
